PDBsource,Smiles,rmvDumSmiles,ECscore,posResidues,negResidues
6SCM_L7H_A,[6*]Oc1c(O[C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c2c(N([9*])[H])nc(C([H])([H])[H])nc2c1[H],[H]Oc1c(O[C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c2c(N([H])[H])nc(C([H])([H])[H])nc2c1[H],-2.730249204042771,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[4*][C@]([10*])([H])C([H])([H])[H],[H]C([H])([H])C([H])([H])[H],-1.6948404937679036,,TRP35
6SCM_L7H_A,[4*][C@@]([18*])([H])c1c([H])c(N([H])[H])c([H])c(C(F)(F)F)c1[H],[H]c1c(N([H])[H])c([H])c(C(F)(F)F)c([H])c1C([H])([H])[H],2.585833900055542,TRP35,TRP35
6SCM_L7H_A,[9*]N([H])c1nc(C([H])([H])[H])nc2c([H])c(OC([H])([H])[H])c(O[15*])c([H])c12,[H]Oc1c(OC([H])([H])[H])c([H])c2nc(C([H])([H])[H])nc(N([H])[H])c2c1[H],-1.3461842918444855,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[9*]N([H])c1nc(C([H])([H])[H])nc2c([H])c([31*])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c12,[H]c1c(O[C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c2c(N([H])[H])nc(C([H])([H])[H])nc2c1[H],-2.31133231965008,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[4*][C@@]([H])(c1c([H])c([28*])c([H])c(C(F)(F)F)c1[H])C([H])([H])[H],[H]c1c([H])c(C(F)(F)F)c([H])c(C([H])([H])C([H])([H])[H])c1[H],1.6031408192646452,TRP35,TRP35
6SCM_L7H_A,[4*][C@@]([H])(c1c([H])c([21*])c([H])c(N([H])[H])c1[H])C([H])([H])[H],[H]c1c([H])c(N([H])[H])c([H])c(C([H])([H])C([H])([H])[H])c1[H],-0.24758917422545274,TRP35,TRP35
6SCM_L7H_A,[4*][C@@]([H])(c1c([H])c(N([H])[H])c([H])c(C([24*])(F)F)c1[H])C([H])([H])[H],[H]c1c(N([H])[H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1C([H])(F)F,0.8380620456632415,TRP35,TRP35
6SCM_L7H_A,[4*][C@@]([H])(c1c([H])c(N([H])[H])c([H])c(C([25*])(F)F)c1[H])C([H])([H])[H],[H]c1c(N([H])[H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1C([H])(F)F,0.7988411241927706,TRP35,TRP35
6SCM_L7H_A,[4*][C@@]([H])(c1c([H])c(N([H])[H])c([H])c(C([26*])(F)F)c1[H])C([H])([H])[H],[H]c1c(N([H])[H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1C([H])(F)F,0.8201625096846272,TRP35,TRP35
6SCM_L7H_A,[9*]N([H])c1nc(C([H])([H])[H])nc2c([H])c(OC([H])([H])[H])c([30*])c([H])c12,[H]c1c(OC([H])([H])[H])c([H])c2nc(C([H])([H])[H])nc(N([H])[H])c2c1[H],-1.0060689526649607,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[10*][C@]([H])(N([H])c1nc(C([H])([H])[H])nc2c([H])c(OC([H])([H])[H])c(O[15*])c([H])c12)C([H])([H])[H],[H]Oc1c(OC([H])([H])[H])c([H])c2nc(C([H])([H])[H])nc(N([H])C([H])([H])C([H])([H])[H])c2c1[H],-3.041024785612389,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[10*][C@]([H])(N([H])c1nc(C([H])([H])[H])nc2c([H])c([31*])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c12)C([H])([H])[H],[H]c1c(O[C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c2c(N([H])C([H])([H])C([H])([H])[H])nc(C([H])([H])[H])nc2c1[H],-4.006172813417984,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[9*]c1c([H])c([28*])c([H])c(C(F)(F)F)c1[H],[H]c1c([H])c([H])c(C(F)(F)F)c([H])c1[H],3.297981313032549,TRP35,TRP35
6SCM_L7H_A,[9*]c1c([H])c([21*])c([H])c(N([H])[H])c1[H],[H]c1c([H])c([H])c(N([H])[H])c([H])c1[H],1.4472513195424515,TRP35,TRP35
6SCM_L7H_A,[9*]c1c([H])c(N([H])[H])c([H])c(C([24*])(F)F)c1[H],[H]c1c([H])c(N([H])[H])c([H])c(C([H])(F)F)c1[H],2.532902539431145,TRP35,TRP35
6SCM_L7H_A,[9*]c1c([H])c(N([H])[H])c([H])c(C([25*])(F)F)c1[H],[H]c1c([H])c(N([H])[H])c([H])c(C([H])(F)F)c1[H],2.493681617960674,TRP35,TRP35
6SCM_L7H_A,[9*]c1c([H])c(N([H])[H])c([H])c(C([26*])(F)F)c1[H],[H]c1c([H])c(N([H])[H])c([H])c(C([H])(F)F)c1[H],2.5150030034525304,TRP35,TRP35
