Smiles,ligandSmile
*C(F)(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([25*])cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([25*])cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])([4*])F,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([7*])cc(N)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([7*])cc([25*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([25*])cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[2*]C(F)(F)c1cc([25*])cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([7*])cc([25*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([25*])cc([C@H]([9*])C)c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[3*]C(F)(F)c1cc([25*])cc([C@@H](C)N[10*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
[1*]c1cc([7*])cc([25*])c1,C[C@@H](Nc1ncnc2cc3[nH]cnc3cc12)c1cc(N)cc(C(F)(F)F)c1
